section,code,parent_code,question,description,rationale,source_page,status
Behavioural Factors,BEH_004,BEH_004,Where do people normally smoke?,"Evaluates the prevalence and safety of smoking habits among residents within the displacement site, including smoking in prohibited areas and improper disposal of cigarette butts.","Smoking-related activities, if not properly regulated or monitored, can lead to accidental fires or contribute to the propagation of fire incidents.",7,Extracted from form
Behavioural Factors,BEH_005,BEH_005,How would you describe regulation on electrical infrastructure within the site?,"Assesses the adequacy and safety of electrical infrastructure, including wiring, outlets, and electrical appliances, and their adherence to safety standards and regulations.",Unregulated or poorly installed electrical infrastructure can create significant ignition risk.,7,Extracted from form
Behavioural Factors,BEH_006a,BEH_006,What is the most common means of household lighting?,Evaluates the reliability and safety of lighting installations or sources within the displacement site at household level.,Improperly used or maintained lighting sources can create an ignition event.,8,Extracted from form
Behavioural Factors,BEH_006b,BEH_006,What is the most common means of communal lighting?,Primary communal lighting source used on site.,Communal lighting methods can introduce shared ignition risks.,8,Extracted from form
Behavioural Factors,BEH_007,BEH_007,How common is it to leave children unsupervised?,Assesses the level of supervision provided to children within the displacement site to prevent them from engaging in activities that could pose fire risks.,"Unsupervised children may engage in risky behaviours, such as playing with fire or tampering with flammable materials, which can lead to accidental fires.",8,Extracted from form
Behavioural Factors,BEH_008,BEH_008,How likely are deliberate ignition events of happening?,Evaluates the potential risk of deliberate and malicious acts such as arson or intentional fire-setting within the site.,The presence of deliberate ignition events poses a significant threat to the safety and security of displacement sites.,8,Extracted from form
Response Capacity,RES_001a,RES_001,Is there a fire warden committee in place?,"Evaluates the level of readiness, ability, capability and capacity of community members to effectively respond to fire incidents. It assesses access to equipment, training, resources and coordination mechanisms.","A strong community response capacity enhances the likelihood of timely intervention and containment of fire incidents, reducing severity of damage and casualties.",9,Extracted from form
Response Capacity,RES_001b,RES_001,How would you describe the support mechanisms available to Fire Wardens?,Support system available to fire wardens.,Support mechanisms affect readiness and ability to respond effectively.,9,Extracted from form
Response Capacity,RES_001c,RES_001,How active are the established fire wardens?,"Activity level of fire wardens across awareness/messaging, equipment maintenance/inspection, and drills/exercises.",Active wardens improve preparedness and early response.,9,Extracted from form
Response Capacity,RES_001d,RES_001,What types of training do members of the committee receive?,Type and quality of fire-safety / response training provided to community fire wardens or committee members.,Training quality directly affects the appropriateness and effectiveness of community response.,9,Extracted from form
Response Capacity,RES_001e,RES_001,How often are they trained (Average per year)?,Training frequency for community fire wardens / committee.,More frequent training generally improves readiness and retention.,9,Extracted from form
Response Capacity,RES_001f,RES_001,What types of fire fighting equipment are available?,"Availability, maintenance status, and distribution of firefighting equipment / medium for community responders.",Equipment availability and serviceability shape the initial weight of attack and early fire control capacity.,10,Extracted from form
Response Capacity,RES_001g,RES_001,,,,,"Not found on visible form pages; field exists in CSV and may be hidden, derived, or from another form version"
Response Capacity,RES_002,RES_002,How adequate are the water supplies available for fire fighting?,"Evaluates the volume, distribution, and ease of access to water resources needed for fire suppression.","Ensuring adequate and accessible water is essential for effective and timely fire response, safety, and preparedness, helping to control and extinguish fires efficiently and minimize damage.",10,Extracted from form
Response Capacity,RES_003a,RES_003,How long is the state actor's response time?,"Assesses the capacity and effectiveness of state actors, such as firefighting agencies and civil defense organizations, in responding to fire incidents within the displacement site.","The capacity of state actors significantly influences overall fire safety and response capabilities within displacement sites, necessitating adequate support and collaboration with community stakeholders.",10,Extracted from form
Response Capacity,RES_003b,RES_003,What training do State Fire Services receive?,Level and relevance of specialist fire-service training for camp / settlement fire response.,Training affects tactics and appropriateness of state response in humanitarian settlement fires.,10,Extracted from form
Response Capacity,RES_003c,RES_003,What equipment is available to state actors?,Equipment capability and availability available to state fire services.,Equipment quality affects state actors' ability to manage and fight fires effectively.,11,Extracted from form
Response Capacity,RES_003d,RES_003,Is the site subject to access restrictions for fire services?,Road access and physical access constraints affecting fire-service response into the site.,"Limited access can delay response and reduce the ability to deploy vehicles, hoses, and crews.",11,Extracted from form
Response Capacity,RES_004,RES_004,"How would you describe messaging around the following three categories: 1. Risky Behaviours, 2. Fire Management, 3. Self-Evacuation?","Evaluates the level of awareness and understanding among community members regarding potential risks and hazards, including fire safety practices, preventive measures, and emergency response protocols.","Improved awareness of fire risks and safety measures empowers community members to take proactive steps in preventing and mitigating fire incidents, fostering a culture of safety and resilience.",11,Extracted from form
Response Capacity,RES_005a,RES_005,Is there a fire warning system in place?,"Assesses the effectiveness and reliability of early warning systems implemented, measuring the timeliness, comprehensiveness, and accessibility of early warning systems in providing actionable information to community members for fire preparedness and response.",Early warning systems play a crucial role in minimizing the impact of fire incidents by enabling timely evacuation and response actions.,11,Extracted from form
Response Capacity,RES_005b,RES_005,How would you describe it?,"Quality and coverage of the fire warning / alarm system, including audibility, inclusivity, and resident awareness of required actions.",System quality determines whether warnings are actionable across the whole site and for all residents.,12,Extracted from form
Response Capacity,RES_005c,RES_005,,,,,"Not found on visible form pages; field exists in CSV and may be hidden, derived, or from another form version"
Response Capacity,RES_006,RES_006,"In case of a fire, how would you describe residents' capacity to evacuate the site and reach a safe area?","Evaluates the efficiency and effectiveness of evacuation schemes or procedures established, including readiness, accessibility, and functionality of evacuation routes, assembly points, and evacuation protocols to ensure swift and coordinated evacuation efforts.",Effective self-evacuation depends on accessible escape routes that allow residents to safely and quickly leave the danger area during a fire.,12,Extracted from form
